,id,date,text,generic complaint about situation at the front,specific complaint mentioning Shoigu or Gerasimov
11,362,2023-01-28,"Troshev's phone was given to him. As far as I know, he made one call until they agreed on something. He is sure that Strelkov will behave like a finished cycle. How will the case go on? Troshev will invite him to Lugansk. There he will get to the standard procedure of the commanders' council. Only on the advice of the commanders it is possible to become a command link even in the department. At the commanders' council, a couple of dozen people who are angry with him will tell him, ""You bastard, why did you come here, you fucking bitch?"" Then they will ask questions, ""Why did you, you little bitch, surrender Slavyansk?"" ""Tell me how you took the money, you damn bitch, from Akhmetov in order to escape from him."" ""Tell me how you left the guys, you bastard."" And all the rest of the questions. Most likely, Strelkov's life will not end there, but questions will be asked. There is no way without them. After all, he goes to the team where everyone must cover the back of the comrade. This person is not famous for his courage, his courage and his reliability. Therefore, there will be questions. If the commanders still agree to leave him, and this will happen only if I say the key word, he will be sent to a training camp, where if he starts to slip, these questions will be asked to him over and over again, perhaps with passion. If everything goes well, then in a month or two he will be thrown into the very hell, where he will have to prove his reliability. If he survives, I will shake his hand. If he tries to escape, I will stick a stick in his face. If he dies a hero, we will bury him with honors. In fact, this is the prospect of working in the ChVK ""Wagner"" at Strelkov. There is also a second option - to come as an ordinary stormtrooper, to pass the selection as an ordinary stormtrooper, training as an ordinary stormtrooper and to fight as an ordinary stormtrooper. Day after day, feat after feat, defending your place as the commander of the stormtrooper group or other qualifications and opportunities, and the authority of the place. And the authority, I can honestly say, among the fighters of the ChVK ""Wagner"", and almost among all the fighters who are now in Donbass, is not lower than the plinth, but lower than the city sewer. So welcome, Mr. Strelkov, to our friendly team.",0,0
13,433,2023-02-12,"Today, the settlement of Red hill was taken by the assault units of the ChVK ""Wagner"". After the taking of ""Solidar"" and the mass noise that there were someone in ""Solidar"" except the fighters of ChVK ""Wagner"", it was very unpleasant for the guys. Therefore, I want to emphasize that there is no one on ""Bahmut"". There are no special units that cover, intercept and intercept something. In the radius of 50 km, plus or minus, there are only fighters of ChVK ""Wagner"" who will take ""Bahmut"". to be continued...",1,0
14,434,2023-02-12,"Where there are no, there are no. We are not in the north, not in the south. And when they say that the fighters of the ChVK ""Wagner"" took the coal, it is not so.",0,0
15,443,2023-02-14,"I do not understand where this nonsense comes from in all directions the enemy is being activated new reserves are being pulled up daily from 300 to 500 new fighters come to Bakhmut in all directions artillery fire is intensified every day today in the north there are the hardest battles there are no prerequisites for encirclement of the enemy in the northern regions storm house by house square meter by square meter the hardest combat work is underway where do the stories about some kind of encirclement come from? something else is not clear at all Bakhmut tomorrow will not be taken, because there is a heavy resistance mincing is underway so that the mincer works properly it is impossible to suddenly take and start celebrating the holiday there will be no holiday in the near future and therefore, to discuss and demoralize everyone with their unfulfilled promises absolutely no sense it gives the impression that everyone has run away there is no one, Ukraine is empty and we are mingling, we can not enter I invite everyone to come forward take the machine gun and run to grab the ass of the encircled enemy",1,0
16,446,2023-02-14,"I have no information that such leaflets are posted this is an exclusive version of social networks the 16th may be associated with anything with weather conditions, with the calm of the wind and other factors certainly any smoke screen creates certain difficulties but this is not critical as for civilians it is unlikely that the SUB prohibits exit from the city as a rule, civilians are released to their territory so time will tell",0,0
17,455,2023-02-16,"I am not a fool for honesty and frankness. In any case, whether with ammunition or not, the enemy will not be able to destroy us. But corrupt bureaucrats can put a cross even on the ChVK ""Wagner"".",0,0
18,464,2023-02-18,"The settlement of Praskovievka is completely under the control of the ChVK ""Wagner"" units. Despite the ammunition blockade, despite the heavy losses and bloody battles, the guys have completely taken over the entire territory of Praskovievka. Thank them, heroes!",0,0
19,468,2023-02-18,"I was informed that a video is spreading on the Internet, where ChVK ""Wagner"" soldiers are shooting at the portraits of Gerasimov and Lapin with machine guns. I want to say the following. The fact that the artillerymen were shooting at the ChVK ""Wagner"" and asking for ammunition, I confirm that this is the art of the ChVK ""Wagner"" division. As for this video, I did not see it, I was described in detail and gave my comments to my guys, who analyzed it in detail. First, we have snow everywhere, so these ""Krendels"" in shirts were probably filmed somewhere in the southern directions. Second, we do not use new ""Pechenegs"" with needlework. And third, I can confirm once again that this is not the ChVK ""Wagner"", but the Ukrainian ""Faith"".",0,1
20,473,2023-02-20,"Thanks to Zhenya Poddubny for raising the topic of ammunition to the level at which it should be heard. He did not raise it by hearing, but he himself climbs into hell, he himself sees the situation, and therefore it is clear to him and is on the verge of all the problems that we have today. As they say, shit boils, blood boils, but the questions that I asked about ammunition, unfortunately, remain absolutely unsolved. This is a serious problem. Moreover, the country has ammunition, this has been stated more than once, the industry has reached the necessary volumes, gives what the country needs, moreover, gives with a margin. And I am surprised that no one expected that they would be able to solve all the existing problems so quickly and do what has not been done in the last 80 years anywhere in the world in terms of volumes. Moreover, I know the warehouses, I know the numbers of the parties, I know the numbers of the boxes, I clearly understand where what is located and I know that these ammunition are. I can not solve this problem, despite all my acquaintances, connections, everything is drowning and dying, no decisions are made. Generals, officers in military headquarters, in various positions, help with what they can, help with all their might, try, resist, sometimes violate military laws in order to give us additional ammunition, which we so need. No one has any understanding of where some limits came from, where the procedures for which you need to receive, no one knows the ways to sign certain documents. Everyone nods somewhere up, pointing up and saying that you know, Yevgeny Viktorovich, you have difficult relations over there, they roll their fingers, point up and roll their eyes. And so you need to go apologize and apologize, then your fighters will receive ammunition. Who to apologize to, to whom to apologize to? 140 million Russians, please tell me who I should apologize to, so that my guys die twice as rarely as it happens today. Today, every day, two times more fighters die, ChVK ""Wagner"", and not only ChVK ""Wagner"", but other military units that we can not cover, due to the full-scale so-called hunger, when we are not given what is in the warehouses, someone sits, bends his fingers and, according to his understanding, according to his mood, decides to give us one or another shell or not. At this time, a specific person dies, he lies in a trench, a shell of the enemy flies at him, we cannot stop the artillery of the enemy, because we do not have the means of defeat. This particular person has two legs or two hands, a specific wife, daughter, son or mother are deprived of their loved one, we put him in a zinc coffin and take him to the cemetery to bury. Is there no conscience to stop fucking like a fly on glass, stop building a cave? Applications are written every day, according to the agreed regulations, they are transferred to the relevant authorities, but after that no one knows who should give an answer and where they should go. My efforts are not enough for the receipt yet. These guys, they went to fight not for Prigozhin, they went to fight for the homeland. And all the advantages of Prigozhin are that they trust him, managed to organize and saw him in him, one of them, of those who need victory in this war. Then, when he commanded the group of General Suravikhin, no matter how many rumors went, good relations with him or not, I meet him only when he comes to expand the front, or on those issues that are, I call and called. And I say to you, we had no problems with ammunition, even though the industry is still creaking. Those who prevent us from winning this war, they are absolutely straight, absolutely straight, work for the enemy, help the enemy to break the rostrum of Russia. There is a tradition that the Russians are dying, but do not give up. And the Russians are dying, only they are dying not for their home and their homeland, but half of them are dying because some military officials do not want to tear off their asses and understand that these are not whims. You can not be capricious at the moment when the country is in danger. I do not blame anyone and I do not want to show anyone anything. I just say, leave your whims, leave your principles and give ammunition. I do not poke your nose with the fact that you sit, have breakfast, lunch, dinner with a golden plate and send your daughters, granddaughters and beetles to rest on the oak trees, not being ashamed of anything at the moment when a Russian soldier dies at the front. I just ask you to give ammunition. This is not an extremist statement and not an attempt to insult someone. And I'm sorry if something is wrong. Give ammunition in the right amount that is in the warehouses.",1,0
21,480,2023-02-20,"In Bakhmut, when the bodies of the soldiers of the Air Force were collected, such a funny document was taken from one of the bodies. Therefore, the conclusion is as follows. In Bakhmut, Zelensky was killed.",0,0
24,488,2023-02-21,"I was informed that the Ministry of Defense is spreading information that allegedly gives ammunition in the Artemov direction to volunteer units. I want to emphasize again, since we switched to a public correspondence with the Ministry of Defense, ChVK ""Wagner"" does not receive 80% of the ammunition required to carry out combat missions. Therefore, the statement of the Ministry of Defense is nothing more than a spit towards ChVK ""Wagner"" with an attempt to hide their crimes before those fighters who today are performing a feat on Bakhmut Artemovsky. As for other volunteer units, there are no them on Bakhmut, there is ChVK ""Wagner"". There is no ammunition, the ""sapper"" shovels, and you will know, gentlemen, the leadership of the Ministry of Defense of the Russian Federation is still not set up. If you give ammunition, give it, and do not tell it to the media, to the people of Russia, deceiving it at the same time. In accordance with the statement of the Ministry of Defense, all documents are ready, including the applications and the amount received, to be provided to the Military Prosecutor's Office or the Military Counterintelligence Service at your choice. Immediately, at their request.",1,0
23,484,2023-02-21,"Why does the Vagner army not get ammunition? Why is the other units also constantly lacking ammunition? Because a bunch of military officials decided that this is their country, that this is their people. They decided that this people will die when they are comfortable, when they like it. And so they, instead of fulfilling their duty and giving ammunition as much as necessary, say, ""Here you have +20%,"" only no more noise raise. They sit in their offices and try to twist intrigues, ring telegram channels, and say, ""You, Prigozhin, do not put or write that he, I do not know, eats these ammunition, or sells to the Americans, or something else."" I have no options, I go to the end, my people are dying in packs, because some strange people have made a decision. Live them or not live, this should not be. These are revolutionary calls, these are demands, give ammunition. One-on-one statements and papers, I can not write them anymore, no one reads.",1,0
22,482,2023-02-21,"During the supply of ammunition, Akhmat and some other units shared what they could. Generals who are around the leadership of the group sign documents, including those for which after that they will be put in the chamber of the military prosecutor's office. They will be given ammunition that we receive directly from the wheels. The head of the General Staff and the Minister of Defense distribute commands to the right and to the left, which say that the ChVK ""Wagner"" should not only give ammunition, but also help with air transport. Now there is information that they have outlined the receipt of sapper shovels so that the guys could dig. There is a direct counteraction, which is called in no other way an attempt to destroy the ChVK ""Wagner"". It can be compared to treason. At the moment when the ChVK ""Wagner"" is fighting for Bakhmut, losing hundreds of their soldiers every day.",1,0
25,491,2023-02-22,"- Evgeny Viktorovich, you made a statement about ammunition yesterday evening. Has the situation changed? - Thank you for asking questions. If you hadn't asked, I would have posted the information myself. We were not given ammunition, and we are not given. It's 10 o'clock in the morning, February 22. No steps have been taken to extract ammunition. What's the problem? I'll explain. I'm posting a photo below. This is one of the places where the dead were gathered. These are the guys who died yesterday, due to the so-called ""bomb hunger"". There should have been five times less of them. Five times. So, mothers, wives and children will get their bodies. Who is to blame for their death? Those who were supposed to solve the issue of supplying us with sufficient ammunition are to blame. The final signature should be given to either Gerasimov or Shoigu. Neither of them wants to make a decision. Why don't they want to? I'll explain. ChVK ""Wagner"" doesn't exist. We used to be given ammunition, formally, for some military units, which, supposedly, take Bakhmut instead of us. But since there is no one there, and this became well known to everyone, and there was a scandal during the seizure, or rather after the seizure of ""Solidar"", where it was said that, unfortunately, there were no representatives of the Ministry of Defense there, there was an attempt to tell how the paratroopers were running around, and after that the paratroopers themselves honestly said, ""Why are you deceiving us? Why are you deceiving the people? We were not at the seizure of ""Solidar"", this was done by ChVK ""Wagner"". And then Teplinsky, as an honest person, took it and wrote a report so as not to feel the shame in which he was being tried to be held. So, ChVK ""Wagner"" doesn't exist. And that's why we are not given ammunition at all. Ammunition is given to a certain mythical group. And now, the second photo that I will post, this is an application in the name of the General Staff of the official representative of ChVK ""Wagner"" Troshev in the General Staff, in which there is a consumption per day, a consumption per 10 days, and the amount that I want to emphasize is not yet given, but is designated for issuance. And not for the issuance of ChVK ""Wagner"", but for the issuance of a certain mythical group. In this application, I have covered all the secret things so that there is no name of ammunition. The red ones are those ammunition that are needed especially for conducting hostilities. Next, the last line printed on the printer on the right is how much we need for 10 days. And on the left is how much we are given for 10 days. Taking into account the theoretical units that could be with us, but are on our flanks, we must come to them and ask, and 99.9% that the commanders of these units, 70, maybe 80% of the received volumes, of course, will give us. Because they are honest officers, honest lieutenants colonels, honest colonels, including those who are honored. They understand that we are engaged in the main combat work, and therefore, of course, they will give us the part of the ammunition that is assigned to us, and maybe not 70-80%, maybe all 100%. But let's go through. Number 1. It is necessary 105,000, they give 3,600. Rather, it is signed. Number 3. It is necessary 7,600, they give 600. What should we do with these ammunition? Should we just keep them in boxes and pray on them, or should we spend them to defeat the enemy? That's the long answer to your first short question. Have you contacted anyone except the head of the General Staff? Yes, of course, I inform. In general, I should not write to the head of the General Staff, I should write to the lower level. But at the lower level, letters are constantly written to the head of the General Staff, when the edge is addressed. This letter to the head of the General Staff. It was on his table for several days until he gathered the strength to consider it. I address all the necessary levels. The only thing is that I do not really believe that God will help the Church, I did not take this application. Probably, you need to ask some priest, maybe he will burn it on a candle, maybe it will come. But I think that the information that you are requesting should be received by the people of the Russian Federation, which suffers the most because of this slander and vileness that is happening today under the leadership of the Ministry of Defense. Will the ChVK ""Wagner"" continue to work in the direction of the ""Artyom"" army? Will it not be possible that because of this situation they will be forced to leave the ""Artyom"" army? ChVK ""Wagner"" walks like a beggar from the world of thread, asking the commanders of the units to help in some way. In some warehouses, in some arsenals, officers, colonels, leaders of these arsenals, commanders, understand that they can be imprisoned and give them 10 years, but they give ammunition without any papers, leaving the illegal field. Some officers, despite the fact that they understand perfectly well that they can not be imprisoned today and tomorrow, and those bodies that should be imprisoned, by the way, they are also on our side. They also understand that by violating all the regulations, they will be silent only because we have to take a step forward. And this is not about Bakhmut, but the fact that we are pulling together the whole war today and we will do it. And the question is whether we will leave Bakhmut? No, we will not leave Bakhmut. We will just die twice as much until all of them are over. And when all the ""Wagner"" soldiers are over, then most likely the ""Shaygu"" with the ""Gerasim"" machine gun will have to take. If the appropriate people had prepared the army and did everything that they were obliged to do for the last 10 and over years, then the ""Wagner"" guys would not be needed at all. There would be no need for a private structure, roughly speaking, private. They do not belong to me, they belong to themselves and to the Russians. They would not be needed at all. But so far, history has been ordered so that they go ahead, and the rest of the mass just does not understand who to obey. Because there are commanders on the ground, and on top they are sitting. Most likely, including the opinion factor, so that there is no hysteria that the Prosecutor General must react urgently. Most likely, there are just completely outrageous citizens who think that the country was created so that they would enjoy and get honors. How can we specifically help in this situation? We are in the sense of a journalistic community. What can you help with? What can you help with? I think that if every Russian, so as not to call anyone to the rallies, just in his place will say ""Give the ""Wagner"" guys the shells"", which is now already launched, in fact, in the social network, then it will already be important. If the driver of a large official comes up to him and says ""Give the shells to the ""Wagner"" guys"", if the stewardess at the entrance to the plane will say to everyone ""Give the shells to the ""Wagner"" guys"", if everyone writes in their social networks ""Give the shells to the ""Wagner"" guys"", and you, at your own expense, put it in the headlines, the TV presenters will unexpectedly during the live broadcast say ""Sergey Kozhugetovich, give the shells to the ""Wagner"" guys"". I think that we will break them, we will make them stop being lawless. And we will be able to explain to the mothers of those who died that everything is stopped, they will not die in vain, because we made them give the shells. I want to emphasize once again, the shells are there, the industry has reached the necessary momentum. Four months ago I met, I will not say the last name of these people, and said that today the fate of the country depends on two people. On us, on the ""Wagner"" guys, because we will go, we will die and we will go to the end. And on you, because you have to launch the production mechanism. And these people, when their names become known, they launched this production, they are the heroes of Russia. They are heroes more than any soldier who died on the battlefield, because it was impossible to break the system. And they broke it in many ways, they broke it by 20 percent. It is necessary to further break this system, to force it to work. But they managed to do it. And the shells are there. Just the ""chinushas"", scoundrels and bastards must take and put their signatures.",1,0
26,499,2023-02-23,"Today at 6 am they reported that the ammunition is being loaded. Most likely, the train has moved, while on paper, but the papers are already signed, as we were told. I would like to thank those who helped us to do this. You saved hundreds, and maybe thousands of lives of the guys who defend their homeland, gave them the opportunity to live on, their mothers, their children will not receive coffins with their bodies. Many thanks to those who did it in various ways, to those ordinary citizens who did everything they could, to those who were in high offices and put pressure, made decisions, and of course to those who gave the last drop in order to start giving us ammunition. Thank you. From the guys, thank you.",0,0
27,502,2023-02-24,"Verkhovka is completely under our control. The unit of the ChNPP ""Wagner"" is fully controlling Verkhovka.",0,0
28,508,2023-02-25,"At 7 p.m. on February 25, the assault units of the ChNPP ""Wagner"" have completely taken over the village of Yagodnaya in the north of Bakhmut.",0,0
29,511,2023-02-26,"Galina, I answer your question. We have not destroyed the leopards. So far, there have been no clashes with the leopards. We have information that the leopards arrive at the hour of the fjars, but we have not met them on the battlefield yet. As soon as we destroy the first leopard, you will be the first to whom we will inform.",0,0
30,522,2023-02-27,"We really met with him and I made a proposal, in case it will be difficult, come, we will always find work. He decided to conduct his project, there is nothing preliminary in this, neither for us, nor for him. ChVK Wagner to Basurin, as he treated with respect, so will treat with respect. In the end, the whole country can not come to work ChVK Wagner. Bye! [References]",0,0
31,525,2023-02-28,"You know, unfortunately, there were a lot of things to do, and therefore I did not see to it. I feel guilty for the rest of blogger Stolyarov and his family. And as for the birthday of Sochi, of course, it is very important for him to take care of his body now, because he brings his loved ones and his fans great joy by demonstrating various parts of him. That's why we are fighting, struggling, dying, and it's good that he is celebrating his birthday in this way. Probably his family and his friends will continue to delight him, and in no case should he go to Donbass, because there we have no pedicure, no manicure, and even hairdressers are actually absent, you can shave your head and go ahead to the fight.",0,0
32,528,2023-02-28,"I have already made the appropriate appeals to the military authorities in order to transfer them to us, or to one of the military units that are in our operational department. And of course, when the guys want to go to war, and not just sit somewhere at the training ground or in a position, it is necessary to do. The fact that they want to go and defend their homeland with weapons in their hands, and bring benefit to our common victory with their own hands, of course, it's very cool, thank them that they found the courage and strength. It is clear that there may be some disciplinary raids on them, but we will fight to take them away from ourselves.",0,0
33,532,2023-03-01,The army in Artemovsk is throwing additional reserves and trying to hold the city by all means. Tens of thousands of Ukrainian soldiers are showing fierce resistance. The bloodshed of the battles is increasing every day. I don't know who opened it and where it was written. I don't know what it is for and who writes what. Sometimes you open a word from three letters in a shed and there is firewood. So don't read any nonsense.,0,0
36,543,2023-03-02,"To recruit new fighters of the ChVK Wagner, who will defend our Motherland, in a number of cities we have already opened the centers of the ChVK Wagner set. These centers are located on the basis of sports clubs. Where you come - you will be checked how physically strong you are. And then they will tell you how you get to us. We fully trust these centers. They are our supporters. The first center that we opened - this is the club ""United Worlds"" ""Grusha"". Supporter of ChVK Wagner. It is located at the address of Moscow - Schmitz's passage, house 2. Special thanks to them. They are the first.",0,0
35,541,2023-03-02,"Red lines - it seems that our red paint is over. And instead of red - brown. However, instead of lines - dashes. Nothing wrong. We will also find on the dashes who leaves them.",0,0
34,540,2023-03-02,"I don't quite understand what kind of DRG. We don't have DRG on the territory of Donbass. We are clearing them all and they cannot cross the border. Therefore, everything is calm in Donbass. If you want peace, come to us in Donbass. We will meet, we will warm you up. There will be no DRG. Do not worry.",0,0
37,556,2023-03-06,"Guys, I beg you. The less questions about my political ambitions, the more ammunition we will get. What is your brain did on my political ambitions? We have no problems in the country except for political ambitions? Here appeared political ambitions. Today I will stand on a baton with a single picket with a sign - ""Get the fuck out!""",1,0
38,558,2023-03-06,"Let's once again explain everything in detail. In order to exclude additional questions. ChVK Wagner blocks ""Bahmut"". In order to unlock ""Bahmut"", it is advisable to block ChVK Wagner. For this, the ARF has created a number of groups. One group in Slavyansk - 67th brigade. The second group in Seversk - 81st and 66th brigade. One group in Chasov-Yar and one group in Konstantinovka. In the ARF, in order to unlock Artemovsk, it is necessary to block ChVK Wagner. And we will get a pie. The filling is the parts of the ARF, which are surrounded by us. In case, of course, if the entire encirclement is ""Bahmut"". And the shell is ChVK Wagner. Therefore, I knock on all doors, I am alarmed with ammunition and reinforcements. And also with the fact that we are covered by flanks. In case, if all the flanks, without ambitions, ""Voebonov"" and ""Esterik"" will do this joint work, then we block the ARF, and the ARF does not block us. If not, then everyone will get a pie. And here, in fact, your answer. Of course, when this pie will be created, then I will jump on this pie with a cherry. And I will stay with my guys to dig up all this porridge. But it will not be easier for anyone. And therefore, the ARF will fight for Artemovsk to the end, and this is obvious. And we must do our job also to the end. But when the whole world is gathering around you, then it is necessary that someone interacts with you. Therefore, we knock on all doors. While my representative was kicked out of the headquarters. He walks around the street there. If someone saw him, whistle.",1,0
39,564,2023-03-08,"The ChVK ""Wagner"" unit occupied the entire eastern part of Bakhmut. Everything that is east of the Bakhmutka River is completely under the control of the ChVK ""Wagner"". This can be reported. -",0,0
40,570,2023-03-09,"I think Vasilyevka is completely under the control of the ChVK ""Wagner"". - There are fighting on the outskirts. The whole territory of the settlement is under our control.",0,0
41,571,2023-03-09,"- No, it didn't get better with ammunition. Nothing has changed in general. - But there are changes. In order for me to stop asking for ammunition, all the phones and special communications in all offices, in all units were disabled. - I will not name them, so as not to discredit them. - Therefore, now I can ask exclusively through the media. - But it's not so bad. There are, of course, positive moments. - I want to thank Igor Nashinkov and all those who work with them and make these shells. - Thank you all very much.",0,0
42,575,2023-03-10,"- In 42 cities of the Russian Federation, centers for the ChVK ""Wagner"" were opened. - New fighters are going there, who will go with us to defend their country and their families side by side, - to make their common future and to protect the memory of the past. - We will go forward, despite the colossal resistance of the Air Force. - Despite the sticks in the wheels that stick to us at every step, we will overcome it together. -",0,0
43,577,2023-03-10,"Yes, I really thanked Manturov and Nashinkov for doing what was impossible. - They increased the production of ammunition in dozens and hundreds of times, and now they produce them in huge quantities, - which covers all the necessary needs. - We presented the shells to the Air Force, and they were given to us. - We saw them, saw the word ""1923"" and were shocked that the ammunition was sent in 1923. - I am concerned about the ammunition and the shell hunger not only for the ChVK ""Wagner"", - but for all the units of the Russian army. - The ammunition is in the hands of the Russian army, and the Russian army is the most powerful. - The Russian army is the most powerful. - The Russian army is the most powerful. - The Russian army is the most powerful. - The Russian army is the most powerful. - The Russian army is the most powerful. - The Russian army is the most powerful. - The Russian army is the most powerful. -",0,0
44,584,2023-03-12,"Gentlemen, Orekhovo-Vasilyevka is not under the control of the ChVK ""Wagner"" at the moment. - And with your statements of the media, Ilomov and other experts, - you do nothing but warn the enemy about the nature of our actions. - Therefore, I have one more time a huge request to the media not to run ahead of the steam locomotive. Happiness loves silence!",0,0
45,586,2023-03-12,"The situation is very difficult in Bakhmut. The enemy is attacking every meter. The closer we are to the city center, the more difficult the fighting is. The more artillery is working on us, the more tanks. Ukrainians are throwing in endless reserves. But we are moving forward and we will move forward. And we will not be ashamed of the glory of Russian weapons. As for ammunition, I made 550 reverence rounds yesterday. So even the most declared Nazis can wash their hands of them. I expected that there would be some kind of reaction. There is no reaction. However, there are positive moments. The guys from the Ministry of Defense, the fighters, the artillerymen are coming from Zaporozhye, from Donetsk, and even from Avdeevka. Because now the heavy fighting is also taking place. And they are bringing us ammunition. Yesterday we received about 15 vehicles, today about 12. And I think that we will continue to receive them. And everyone will take what they need, because when they need help, we will come to them for help. There is no conflict between the fighters of the ChVK ""Wagner"" and the fighters of the Ministry of Defense. There are intrigues, and everything else leads only to victory.",1,0
46,589,2023-03-13,"First there was the ChVK ""Wagner"", then there was the ""Wagner"" group. Now it turned out that this is the ""Wagner"" division. So this ""Wagner"" division, the word ""Italy"" speaks in this response for the first time in many, many years. We have no idea what is happening with the migration crisis. We don't do this. We have a lot of our own affairs. Therefore, with confidence I can say only one thing. Guido Crasetto is an absolute asshole and a fucking moron. He needs to look at the sides less, to deal with his own problems, which he seems to have missed.",0,0
50,598,2023-03-15,"In the future, in order not to confuse the usual offender with the fighter ChVK Wagner, it is necessary to pay attention to the following characteristic features of the fighter ChVK Wagner. Fighter ChVK Wagner is always polite, respectful, good physique, as a rule, strong, resilient, brave, courageous, loving his homeland. A person who can always explain where he was, against whom he fought, but will never do it. If he gets into the public field, then he tries to put on a mask and modestly go to the background. And when he is in battle, then with his eyes wide open he goes forward and kills the enemy. These are the signs by which you can easily determine the fighter ChVK Wagner. People love him, girls, preferably young and pretty, love him and hate the representatives of the NATO bloc. This is him, this is the fighter ChVK Wagner. And apparently Chorshanbiev does not fit these characteristics, so he is not a fighter ChVK Wagner. [References]",0,0
49,595,2023-03-15,"I was just informed that a certain citizen, Chorshanbiev, was detained in Odintsovsky district. No representatives of ChVK Wagner have yet gone to the police. We checked our own account. There was never such a person in ChVK Wagner. At the moment he is not. He does not pass any training with us and did not pass. We will try to get his, so to speak, physiognomy. As soon as we see, we will run through our database and determine, perhaps, he changed his last name or something else. But we did not have such a person, Chorshanbiev, and no. We will keep you informed.",0,0
48,593,2023-03-15,"I don't know which ones, but the placement of the advertisement of the ChVK ""Wagner"" on porn sites is a very good idea of ​​our marketers. I absolutely agree with them. And this advertisement says, ""Go fight in the ChVK ""Wagner"". Stop fucking around. Who disagrees with this argument? year.",0,0
47,591,2023-03-15,"In the absence of ammunition, in the shell hunger, in the hardest battles, the assault units are expanding the encirclement of ""Bahmut"". This morning, the settlement of ""Zaleznyanskaya"" was taken by the assault units of the ChVK ""Wagner"".",1,0
51,600,2023-03-16,"I was told that the ad for CVK Wagner was disabled on PornHub I think it happened because not only Russian citizens stopped playing around but also Americans and other users of PornHub and everyone wants CVK Wagner So don't play around and go to CVK Wagner It's a good ad for CVK Wagner but it has a very negative impact on PornHub economy PornHub is for faggots And I'm using this opportunity to call on Russian producers of funny pictures to advertise CVK Wagner at your place Let faggots who watch you come to us too, we'll pay them The End",0,0
52,602,2023-03-16,"I was not informed about this information and I did not see the messages in the telegram channels Nevertheless, if there is such information, and the telegram channels often just gossip But if it is in reality, then of course special services should control the safety of the state and its residents Therefore, if this danger arises, then no matter who it comes from, the threat must be eliminated",0,0
